experiment_id,dataset,model,num_layers,hidden_channels,seed
67,Cora,GCNPairNorm,32,64,2
68,Cora,GCNPairNorm,32,64,3
69,Cora,GCNPairNorm,32,128,1
70,Cora,GCNPairNorm,32,128,2
71,Cora,GCNPairNorm,32,128,3
72,Cora,GATPairNorm,8,64,1
73,Cora,GATPairNorm,8,64,2
74,Cora,GATPairNorm,8,64,3
75,Cora,GATPairNorm,8,128,1
76,Cora,GATPairNorm,8,128,2
77,Cora,GATPairNorm,8,128,3
78,Cora,GATPairNorm,16,64,1
79,Cora,GATPairNorm,16,64,2
80,Cora,GATPairNorm,16,64,3
81,Cora,GATPairNorm,16,128,1
82,Cora,GATPairNorm,16,128,2
83,Cora,GATPairNorm,16,128,3
84,Cora,GATPairNorm,32,64,1
85,Cora,GATPairNorm,32,64,2
86,Cora,GATPairNorm,32,64,3
87,Cora,GATPairNorm,32,128,1
88,Cora,GATPairNorm,32,128,2
89,Cora,GATPairNorm,32,128,3
90,Cora,GraphSAGEPairNorm,8,64,1
91,Cora,GraphSAGEPairNorm,8,64,2
92,Cora,GraphSAGEPairNorm,8,64,3
93,Cora,GraphSAGEPairNorm,8,128,1
94,Cora,GraphSAGEPairNorm,8,128,2
95,Cora,GraphSAGEPairNorm,8,128,3
96,Cora,GraphSAGEPairNorm,16,64,1
97,Cora,GraphSAGEPairNorm,16,64,2
98,Cora,GraphSAGEPairNorm,16,64,3
99,Cora,GraphSAGEPairNorm,16,128,1
100,Cora,GraphSAGEPairNorm,16,128,2
101,Cora,GraphSAGEPairNorm,16,128,3
102,Cora,GraphSAGEPairNorm,32,64,1
103,Cora,GraphSAGEPairNorm,32,64,2
104,Cora,GraphSAGEPairNorm,32,64,3
105,Cora,GraphSAGEPairNorm,32,128,1
106,Cora,GraphSAGEPairNorm,32,128,2
107,Cora,GraphSAGEPairNorm,32,128,3
108,CiteSeer,GCN,8,64,1
109,CiteSeer,GCN,8,64,2
110,CiteSeer,GCN,8,64,3
111,CiteSeer,GCN,8,128,1
112,CiteSeer,GCN,8,128,2
113,CiteSeer,GCN,8,128,3
114,CiteSeer,GCN,16,64,1
115,CiteSeer,GCN,16,64,2
116,CiteSeer,GCN,16,64,3
117,CiteSeer,GCN,16,128,1
118,CiteSeer,GCN,16,128,2
119,CiteSeer,GCN,16,128,3
120,CiteSeer,GCN,32,64,1
121,CiteSeer,GCN,32,64,2
122,CiteSeer,GCN,32,64,3
123,CiteSeer,GCN,32,128,1
124,CiteSeer,GCN,32,128,2
125,CiteSeer,GCN,32,128,3
126,CiteSeer,GAT,8,64,1
127,CiteSeer,GAT,8,64,2
128,CiteSeer,GAT,8,64,3
129,CiteSeer,GAT,8,128,1
130,CiteSeer,GAT,8,128,2
131,CiteSeer,GAT,8,128,3
132,CiteSeer,GAT,16,64,1
133,CiteSeer,GAT,16,64,2
134,CiteSeer,GAT,16,64,3
135,CiteSeer,GAT,16,128,1
136,CiteSeer,GAT,16,128,2
137,CiteSeer,GAT,16,128,3
138,CiteSeer,GAT,32,64,1
139,CiteSeer,GAT,32,64,2
140,CiteSeer,GAT,32,64,3
141,CiteSeer,GAT,32,128,1
142,CiteSeer,GAT,32,128,2
143,CiteSeer,GAT,32,128,3
144,CiteSeer,GraphSAGE,8,64,1
145,CiteSeer,GraphSAGE,8,64,2
146,CiteSeer,GraphSAGE,8,64,3
147,CiteSeer,GraphSAGE,8,128,1
148,CiteSeer,GraphSAGE,8,128,2
149,CiteSeer,GraphSAGE,8,128,3
150,CiteSeer,GraphSAGE,16,64,1
151,CiteSeer,GraphSAGE,16,64,2
152,CiteSeer,GraphSAGE,16,64,3
153,CiteSeer,GraphSAGE,16,128,1
154,CiteSeer,GraphSAGE,16,128,2
155,CiteSeer,GraphSAGE,16,128,3
156,CiteSeer,GraphSAGE,32,64,1
157,CiteSeer,GraphSAGE,32,64,2
158,CiteSeer,GraphSAGE,32,64,3
159,CiteSeer,GraphSAGE,32,128,1
160,CiteSeer,GraphSAGE,32,128,2
161,CiteSeer,GraphSAGE,32,128,3
162,CiteSeer,GCNPairNorm,8,64,1
163,CiteSeer,GCNPairNorm,8,64,2
164,CiteSeer,GCNPairNorm,8,64,3
165,CiteSeer,GCNPairNorm,8,128,1
166,CiteSeer,GCNPairNorm,8,128,2
167,CiteSeer,GCNPairNorm,8,128,3
168,CiteSeer,GCNPairNorm,16,64,1
169,CiteSeer,GCNPairNorm,16,64,2
170,CiteSeer,GCNPairNorm,16,64,3
171,CiteSeer,GCNPairNorm,16,128,1
172,CiteSeer,GCNPairNorm,16,128,2
173,CiteSeer,GCNPairNorm,16,128,3
174,CiteSeer,GCNPairNorm,32,64,1
175,CiteSeer,GCNPairNorm,32,64,2
176,CiteSeer,GCNPairNorm,32,64,3
177,CiteSeer,GCNPairNorm,32,128,1
178,CiteSeer,GCNPairNorm,32,128,2
179,CiteSeer,GCNPairNorm,32,128,3
180,CiteSeer,GATPairNorm,8,64,1
181,CiteSeer,GATPairNorm,8,64,2
182,CiteSeer,GATPairNorm,8,64,3
183,CiteSeer,GATPairNorm,8,128,1
184,CiteSeer,GATPairNorm,8,128,2
185,CiteSeer,GATPairNorm,8,128,3
186,CiteSeer,GATPairNorm,16,64,1
187,CiteSeer,GATPairNorm,16,64,2
188,CiteSeer,GATPairNorm,16,64,3
189,CiteSeer,GATPairNorm,16,128,1
190,CiteSeer,GATPairNorm,16,128,2
191,CiteSeer,GATPairNorm,16,128,3
192,CiteSeer,GATPairNorm,32,64,1
193,CiteSeer,GATPairNorm,32,64,2
194,CiteSeer,GATPairNorm,32,64,3
195,CiteSeer,GATPairNorm,32,128,1
196,CiteSeer,GATPairNorm,32,128,2
197,CiteSeer,GATPairNorm,32,128,3
198,CiteSeer,GraphSAGEPairNorm,8,64,1
199,CiteSeer,GraphSAGEPairNorm,8,64,2
200,CiteSeer,GraphSAGEPairNorm,8,64,3
201,CiteSeer,GraphSAGEPairNorm,8,128,1
202,CiteSeer,GraphSAGEPairNorm,8,128,2
203,CiteSeer,GraphSAGEPairNorm,8,128,3
204,CiteSeer,GraphSAGEPairNorm,16,64,1
205,CiteSeer,GraphSAGEPairNorm,16,64,2
206,CiteSeer,GraphSAGEPairNorm,16,64,3
207,CiteSeer,GraphSAGEPairNorm,16,128,1
208,CiteSeer,GraphSAGEPairNorm,16,128,2
209,CiteSeer,GraphSAGEPairNorm,16,128,3
210,CiteSeer,GraphSAGEPairNorm,32,64,1
211,CiteSeer,GraphSAGEPairNorm,32,64,2
212,CiteSeer,GraphSAGEPairNorm,32,64,3
213,CiteSeer,GraphSAGEPairNorm,32,128,1
214,CiteSeer,GraphSAGEPairNorm,32,128,2
215,CiteSeer,GraphSAGEPairNorm,32,128,3
216,PubMed,GCN,8,64,1
217,PubMed,GCN,8,64,2
218,PubMed,GCN,8,64,3
219,PubMed,GCN,8,128,1
220,PubMed,GCN,8,128,2
221,PubMed,GCN,8,128,3
222,PubMed,GCN,16,64,1
223,PubMed,GCN,16,64,2
224,PubMed,GCN,16,64,3
225,PubMed,GCN,16,128,1
226,PubMed,GCN,16,128,2
227,PubMed,GCN,16,128,3
228,PubMed,GCN,32,64,1
229,PubMed,GCN,32,64,2
230,PubMed,GCN,32,64,3
231,PubMed,GCN,32,128,1
232,PubMed,GCN,32,128,2
233,PubMed,GCN,32,128,3
234,PubMed,GAT,8,64,1
235,PubMed,GAT,8,64,2
236,PubMed,GAT,8,64,3
237,PubMed,GAT,8,128,1
238,PubMed,GAT,8,128,2
239,PubMed,GAT,8,128,3
240,PubMed,GAT,16,64,1
241,PubMed,GAT,16,64,2
242,PubMed,GAT,16,64,3
243,PubMed,GAT,16,128,1
244,PubMed,GAT,16,128,2
245,PubMed,GAT,16,128,3
246,PubMed,GAT,32,64,1
247,PubMed,GAT,32,64,2
248,PubMed,GAT,32,64,3
249,PubMed,GAT,32,128,1
250,PubMed,GAT,32,128,2
251,PubMed,GAT,32,128,3
252,PubMed,GraphSAGE,8,64,1
253,PubMed,GraphSAGE,8,64,2
254,PubMed,GraphSAGE,8,64,3
255,PubMed,GraphSAGE,8,128,1
256,PubMed,GraphSAGE,8,128,2
257,PubMed,GraphSAGE,8,128,3
258,PubMed,GraphSAGE,16,64,1
259,PubMed,GraphSAGE,16,64,2
260,PubMed,GraphSAGE,16,64,3
261,PubMed,GraphSAGE,16,128,1
262,PubMed,GraphSAGE,16,128,2
263,PubMed,GraphSAGE,16,128,3
264,PubMed,GraphSAGE,32,64,1
265,PubMed,GraphSAGE,32,64,2
266,PubMed,GraphSAGE,32,64,3
267,PubMed,GraphSAGE,32,128,1
268,PubMed,GraphSAGE,32,128,2
269,PubMed,GraphSAGE,32,128,3
270,PubMed,GCNPairNorm,8,64,1
271,PubMed,GCNPairNorm,8,64,2
272,PubMed,GCNPairNorm,8,64,3
273,PubMed,GCNPairNorm,8,128,1
274,PubMed,GCNPairNorm,8,128,2
275,PubMed,GCNPairNorm,8,128,3
276,PubMed,GCNPairNorm,16,64,1
277,PubMed,GCNPairNorm,16,64,2
278,PubMed,GCNPairNorm,16,64,3
279,PubMed,GCNPairNorm,16,128,1
280,PubMed,GCNPairNorm,16,128,2
281,PubMed,GCNPairNorm,16,128,3
282,PubMed,GCNPairNorm,32,64,1
283,PubMed,GCNPairNorm,32,64,2
284,PubMed,GCNPairNorm,32,64,3
285,PubMed,GCNPairNorm,32,128,1
286,PubMed,GCNPairNorm,32,128,2
287,PubMed,GCNPairNorm,32,128,3
288,PubMed,GATPairNorm,8,64,1
289,PubMed,GATPairNorm,8,64,2
290,PubMed,GATPairNorm,8,64,3
291,PubMed,GATPairNorm,8,128,1
292,PubMed,GATPairNorm,8,128,2
293,PubMed,GATPairNorm,8,128,3
294,PubMed,GATPairNorm,16,64,1
295,PubMed,GATPairNorm,16,64,2
296,PubMed,GATPairNorm,16,64,3
297,PubMed,GATPairNorm,16,128,1
298,PubMed,GATPairNorm,16,128,2
299,PubMed,GATPairNorm,16,128,3
300,PubMed,GATPairNorm,32,64,1
301,PubMed,GATPairNorm,32,64,2
302,PubMed,GATPairNorm,32,64,3
303,PubMed,GATPairNorm,32,128,1
304,PubMed,GATPairNorm,32,128,2
305,PubMed,GATPairNorm,32,128,3
306,PubMed,GraphSAGEPairNorm,8,64,1
307,PubMed,GraphSAGEPairNorm,8,64,2
308,PubMed,GraphSAGEPairNorm,8,64,3
309,PubMed,GraphSAGEPairNorm,8,128,1
310,PubMed,GraphSAGEPairNorm,8,128,2
311,PubMed,GraphSAGEPairNorm,8,128,3
312,PubMed,GraphSAGEPairNorm,16,64,1
313,PubMed,GraphSAGEPairNorm,16,64,2
314,PubMed,GraphSAGEPairNorm,16,64,3
315,PubMed,GraphSAGEPairNorm,16,128,1
316,PubMed,GraphSAGEPairNorm,16,128,2
317,PubMed,GraphSAGEPairNorm,16,128,3
318,PubMed,GraphSAGEPairNorm,32,64,1
319,PubMed,GraphSAGEPairNorm,32,64,2
320,PubMed,GraphSAGEPairNorm,32,64,3
321,PubMed,GraphSAGEPairNorm,32,128,1
322,PubMed,GraphSAGEPairNorm,32,128,2
323,PubMed,GraphSAGEPairNorm,32,128,3
